
> data-vis@1.0.0 as1 /Users/saman/Projects/GitHub/data-vis
> node ./assignment-1/main.js

158 1763 -32 183
158 1784 -57 183
158 1804 -86 185
158 1823 -118 189
158 1841 -152 194
158 1858 -183 199
158 1874 -206 201
158 1889 -209 197
158 1903 -176 186
158 1916 -87 164
158 1928 74 133
158 1940 319 96
158 1951 641 60
158 1961 1005 31
158 1971 1361 13
158 1980 1659 3
158 1988 1867 0
158 1996 1973 0
158 2000 2000 0
176 0 0 0
176 3 0 -0
176 11 0 -0
176 19 1 -0
176 28 2 -0
176 38 3 -0
176 48 4 -0
176 59 6 -0
176 71 7 -1
176 83 8 -1
176 96 8 -2
176 110 8 -2
176 125 7 -2
176 141 6 -2
176 158 3 -2
176 176 0 -1
176 195 -3 1
176 215 -9 4
176 236 -16 10
176 258 -24 18
176 282 -33 28
176 306 -43 41
176 332 -53 57
176 359 -65 77
176 387 -76 101
176 417 -87 128
176 448 -97 158
176 479 -106 192
176 513 -114 228
176 547 -118 266
176 582 -121 305
176 618 -121 344
176 656 -118 384
176 694 -112 422
176 733 -104 458
176 773 -94 492
176 813 -81 523
176 854 -68 550
176 895 -53 574
176 937 -38 594
176 979 -22 609
176 1020 -6 620
176 1062 9 627
176 1104 24 629
176 1145 38 626
176 1186 52 619
176 1226 64 608
176 1266 74 592
176 1305 83 572
176 1343 90 549
176 1381 94 523
176 1417 97 493
176 1452 97 462
176 1486 95 430
176 1520 92 398
176 1551 86 366
176 1582 78 336
176 1612 69 308
176 1640 58 283
176 1667 46 261
176 1693 31 242
176 1717 14 228
176 1741 -5 216
176 1763 -29 208
176 1784 -56 203
176 1804 -86 200
176 1823 -119 198
176 1841 -153 197
176 1858 -184 195
176 1874 -203 190
176 1889 -197 181
176 1903 -150 165
176 1916 -44 142
176 1928 135 112
176 1940 393 79
176 1951 716 48
176 1961 1069 25
176 1971 1406 10
176 1980 1684 3
176 1988 1877 0
176 1996 1975 0
176 2000 2000 0
195 0 0 0
195 3 0 -0
195 11 0 -0
195 19 1 -0
195 28 2 -0
195 38 3 -0
195 48 5 -0
195 59 6 -0
195 71 8 -0
195 83 8 -1
195 96 9 -1
195 110 9 -1
195 125 7 -1
195 141 5 -0
195 158 2 0
195 176 -1 2
195 195 -7 5
195 215 -14 10
195 236 -22 17
195 258 -32 26
195 282 -43 38
195 306 -55 53
195 332 -68 71
195 359 -81 93
195 387 -95 119
195 417 -107 148
195 448 -119 181
195 479 -129 216
195 513 -137 254
195 547 -143 294
195 582 -145 334
195 618 -144 375
195 656 -141 415
195 694 -134 454
195 733 -124 490
195 773 -112 524
195 813 -98 555
195 854 -82 582
195 895 -65 606
195 937 -47 625
195 979 -29 641
195 1020 -11 652
195 1062 6 659
195 1104 24 662
195 1145 41 661
195 1186 56 656
195 1226 71 646
195 1266 84 633
195 1305 95 615
195 1343 104 594
195 1381 111 570
195 1417 115 543
195 1452 117 513
195 1486 116 482
195 1520 112 449
195 1551 107 417
195 1582 99 386
195 1612 89 356
195 1640 76 328
195 1667 62 303
195 1693 45 281
195 1717 26 263
195 1741 4 247
195 1763 -21 234
195 1784 -49 224
195 1804 -81 215
195 1823 -115 207
195 1841 -148 200
195 1858 -177 191
195 1874 -191 181
195 1889 -177 167
195 1903 -119 148
195 1916 1 124
195 1928 195 95
195 1940 461 66
195 1951 783 39
195 1961 1124 20
195 1971 1443 8
195 1980 1704 2
195 1988 1885 0
195 1996 1977 0
195 2000 2000 0
215 0 0 0
215 3 0 -0
215 11 0 -0
215 19 1 -0
215 28 2 -0
215 38 4 -0
215 48 5 -0
215 59 7 -0
215 71 8 -0
215 83 9 -0
215 96 9 -0
215 110 8 -0
215 125 7 0
215 141 4 1
215 158 0 3
215 176 -4 6
215 195 -11 10
215 215 -20 16
215 236 -30 24
215 258 -42 35
215 282 -55 49
215 306 -69 66
215 332 -84 87
215 359 -100 111
215 387 -116 139
215 417 -131 171
215 448 -144 206
215 479 -155 243
215 513 -164 283
215 547 -170 324
215 582 -172 366
215 618 -170 407
215 656 -165 448
215 694 -157 486
215 733 -145 523
215 773 -131 556
215 813 -115 586
215 854 -97 613
215 895 -78 636
215 937 -58 655
215 979 -37 670
215 1020 -16 681
215 1062 3 688
215 1104 23 692
215 1145 42 691
215 1186 60 687
215 1226 77 679
215 1266 93 667
